"Intent","TrainPhrase"
associateWageGarnishmentInstruction.create,"{""en-US"": ""create spousal support order""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""add bankruptcy order for Katherine""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""create worker bankruptcy order""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""add tax levy""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""create tax levy""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""add student loan""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""create student loan""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""wage garnishment""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""add wage garnishment""}"
backupWithholding.update,"{""en-US"": ""Update back up with holding""}"
backupWithholding.update,"{""en-US"": ""Update backup withholding""}"
backupWithholding.update,"{""en-US"": ""modify backup withholding""}"
backupWithholding.update,"{""en-US"": ""edit backup withholding""}"
backupWithholding.update,"{""en-US"": ""Update backup withholding for Anthony""}"
backupWithholding.update,"{""en-US"": ""back up with holding update for worker Margarite""}"
backupWithholding.update,"{""en-US"": ""Update back up withholding""}"
backupWithholding.update,"{""en-US"": ""back up with holding update""}"
backupWithholding.update,"{""en-US"": ""backup withholding update for Tom""}"
backupWithholding.update,"{""en-US"": ""change back up withholding update for worker""}"
backupWithholding.update,"{""en-US"": ""edit backup withholding for associate""}"
backupWithholding.update,"{""en-US"": ""back up withholding update""}"
backupWithholding.update,"{""en-US"": ""change back up withholding""}"
band.activate,"{""en-US"": ""please activate band""}"
band.activate,"{""en-US"": ""launching job band""}"
band.activate,"{""en-US"": ""opening job band""}"
band.activate,"{""en-US"": ""job pay band activation""}"
band.activate,"{""en-US"": ""start band""}"
band.activate,"{""en-US"": ""launch pay band""}"
band.activate,"{""en-US"": ""open job band""}"
band.activate,"{""en-US"": ""switch on salary band""}"
band.activate,"{""en-US"": ""turn on band""}"
band.activate,"{""en-US"": ""initiate pay band""}"
band.activate,"{""en-US"": ""activate job band""}"
band.create,"{""en-US"": ""establish pay band""}"
band.create,"{""en-US"": ""set up job band""}"
band.create,"{""en-US"": ""make salary band""}"
band.create,"{""en-US"": ""add pay band""}"
band.create,"{""en-US"": ""add band""}"
band.create,"{""en-US"": ""create new job pay band""}"
band.create,"{""en-US"": ""create pay band""}"
band.create,"{""en-US"": "" new job band create""}"
band.create,"{""en-US"": ""new job band""}"
band.create,"{""en-US"": ""create band""}"
band.create,"{""en-US"": ""make a new pay band""}"
band.create,"{""en-US"": ""new payband""}"
band.create,"{""en-US"": ""create new salary band""}"
band.deactivate,"{""en-US"": ""I need to deactivate job band""}"
band.deactivate,"{""en-US"": ""please deactivation pay band""}"
band.deactivate,"{""en-US"": ""stop band""}"
band.deactivate,"{""en-US"": ""turn off pay band""}"
band.deactivate,"{""en-US"": ""shut off job band""}"
band.deactivate,"{""en-US"": ""salary pay band deactivation""}"
band.deactivate,"{""en-US"": ""inactivate salary band""}"
band.deactivate,"{""en-US"": ""disconnect band""}"
band.deactivate,"{""en-US"": ""disable pay band""}"
band.deactivate,"{""en-US"": ""job band deactivation""}"
band.deactivate,"{""en-US"": ""deactivate job band""}"
band.delete,"{""en-US"": ""get rid of job band""}"
band.delete,"{""en-US"": ""take away salary band""}"
band.delete,"{""en-US"": ""elim pay band""}"
band.delete,"{""en-US"": ""eliminate band""}"
band.delete,"{""en-US"": ""rem pay band""}"
band.delete,"{""en-US"": ""remove pay band""}"
band.delete,"{""en-US"": ""del job band""}"
band.delete,"{""en-US"": ""delete job band""}"
band.delete,"{""en-US"": ""please del job band""}"
band.delete,"{""en-US"": ""eliminate a job pay band""}"
band.delete,"{""en-US"": ""take away a job band""}"
band.delete,"{""en-US"": ""make deletion of job band""}"
band.delete,"{""en-US"": ""elimination of job band""}"
band.delete,"{""en-US"": ""removal job band please""}"
band.update,"{""en-US"": ""correct establish pay band""}"
band.update,"{""en-US"": ""edit pay band""}"
band.update,"{""en-US"": ""edit job band""}"
band.update,"{""en-US"": ""adjust salary band""}"
band.update,"{""en-US"": ""modif pay band""}"
band.update,"{""en-US"": ""modify band""}"
band.update,"{""en-US"": ""change pay band""}"
band.update,"{""en-US"": ""updt job band""}"
band.update,"{""en-US"": ""update job band""}"
band.update,"{""en-US"": ""correct pay band""}"
band.update,"{""en-US"": ""correct band""}"
band.update,"{""en-US"": ""make adjustments to pay band""}"
band.update,"{""en-US"": ""modify salary band""}"
band.update,"{""en-US"": ""edit payband""}"
campus.create,"{""en-US"": ""establish campus new""}"
campus.create,"{""en-US"": ""new campus creation""}"
campus.create,"{""en-US"": ""establish campus""}"
campus.create,"{""en-US"": ""set up site""}"
campus.create,"{""en-US"": ""make campus""}"
campus.create,"{""en-US"": ""add campus site""}"
campus.create,"{""en-US"": ""add site""}"
campus.create,"{""en-US"": ""create campus""}"
campus.create,"{""en-US"": ""start site""}"
campus.create,"{""en-US"": ""new campus create""}"
campus.create,"{""en-US"": ""new campus""}"
campus.delete,"{""en-US"": ""get rid of site""}"
campus.delete,"{""en-US"": ""get rid of campus""}"
campus.delete,"{""en-US"": ""take away campus site""}"
campus.delete,"{""en-US"": ""take away site""}"
campus.delete,"{""en-US"": ""elim campus""}"
campus.delete,"{""en-US"": ""eliminate campus""}"
campus.delete,"{""en-US"": ""rem site""}"
campus.delete,"{""en-US"": ""remove site""}"
campus.delete,"{""en-US"": ""del campus""}"
campus.delete,"{""en-US"": ""delete campus""}"
campus.update,"{""en-US"": ""please update campus site""}"
campus.update,"{""en-US"": ""make campus update""}"
campus.update,"{""en-US"": ""correct site""}"
campus.update,"{""en-US"": ""edit campus""}"
campus.update,"{""en-US"": ""adjust site""}"
campus.update,"{""en-US"": ""modif campus""}"
campus.update,"{""en-US"": ""modify campus""}"
campus.update,"{""en-US"": ""change site""}"
campus.update,"{""en-US"": ""updt campus""}"
campus.update,"{""en-US"": ""update campus""}"
candidate.refer,"{""en-US"": ""I need to refer a job candidate""}"
candidate.refer,"{""en-US"": ""I want o refer a candidate""}"
candidate.refer,"{""en-US"": ""job candidate suggestion""}"
candidate.refer,"{""en-US"": ""candidate referral""}"
candidate.refer,"{""en-US"": ""position recommendation""}"
candidate.refer,"{""en-US"": ""recommend for job""}"
candidate.refer,"{""en-US"": ""suggest candidate""}"
candidate.refer,"{""en-US"": ""refer job candidate""}"
candidate.refer,"{""en-US"": ""make recommendation to job candidate""}"
candidate.refer,"{""en-US"": ""I need to suggest a job candidate""}"
candidate.refer,"{""en-US"": ""Refer candidate""}"
candidate.refer,"{""en-US"": ""I need to refer a candidate""}"
candidate.refer,"{""en-US"": ""I need to refer a job position candidate""}"
compensationPlan.create,"{""en-US"": ""create compensation detail""}"
compensationPlan.create,"{""en-US"": ""new compensation plan""}"
compensationPlan.create,"{""en-US"": ""add some perks to compensation""}"
compensationPlan.create,"{""en-US"": ""add some sick days to compensation""}"
compensationPlan.create,"{""en-US"": ""add stock option to compensation""}"
compensationPlan.create,"{""en-US"": ""set up stock options""}"
compensationPlan.create,"{""en-US"": ""add sick days benefits""}"
compensationPlan.create,"{""en-US"": ""set up personal days""}"
compensationPlan.create,"{""en-US"": ""add vacation days""}"
compensationPlan.create,"{""en-US"": ""establish perks""}"
compensationPlan.create,"{""en-US"": ""create allowance""}"
compensationPlan.create,"{""en-US"": ""set up commission""}"
compensationPlan.create,"{""en-US"": ""establish pay bonus""}"
compensationPlan.create,"{""en-US"": ""create basic pay""}"
compensationPlan.create,"{""en-US"": ""establish compensation specific""}"
compensationPlan.create,"{""en-US"": ""set up compensation details""}"
compensationPlan.create,"{""en-US"": ""make compensation plans""}"
compensationPlan.create,"{""en-US"": ""add compensation benefits""}"
compensationPlan.create,"{""en-US"": ""create compensation specifics""}"
compensationPlan.create,"{""en-US"": ""create new compensation plan""}"
compensationPlan.create,"{""en-US"": ""start compensation details""}"
compensationPlan.delete,"{""en-US"": ""delete compensation detail""}"
compensationPlan.delete,"{""en-US"": ""delete compensation plan""}"
compensationPlan.delete,"{""en-US"": ""delete stock options benefits""}"
compensationPlan.delete,"{""en-US"": ""remove sick days benefits""}"
compensationPlan.delete,"{""en-US"": ""eliminate personal days benefit""}"
compensationPlan.delete,"{""en-US"": ""remove vacation days benefit""}"
compensationPlan.delete,"{""en-US"": ""delete perks""}"
compensationPlan.delete,"{""en-US"": ""get rid of perks""}"
compensationPlan.delete,"{""en-US"": ""take away allowance""}"
compensationPlan.delete,"{""en-US"": ""eliminate commission""}"
compensationPlan.delete,"{""en-US"": ""remove bonus""}"
compensationPlan.delete,"{""en-US"": ""del basic pay""}"
compensationPlan.delete,"{""en-US"": ""delete basic pay""}"
compensationPlan.delete,"{""en-US"": ""get rid of compensation plan""}"
compensationPlan.delete,"{""en-US"": ""take away compensation benefits""}"
compensationPlan.delete,"{""en-US"": ""eliminate compensation specifics""}"
compensationPlan.delete,"{""en-US"": ""rem compensation details""}"
compensationPlan.delete,"{""en-US"": ""remove compensation details""}"
compensationPlan.delete,"{""en-US"": ""del compensation plan""}"
compensationPlan.update,"{""en-US"": ""update compensation plan""}"
compensationPlan.update,"{""en-US"": ""update compensation detail""}"
compensationPlan.update,"{""en-US"": ""change stock options""}"
compensationPlan.update,"{""en-US"": ""adjust stock options benefit""}"
compensationPlan.update,"{""en-US"": ""update sick days""}"
compensationPlan.update,"{""en-US"": ""modify sick days benefit""}"
compensationPlan.update,"{""en-US"": ""change personal days benefit""}"
compensationPlan.update,"{""en-US"": ""update vacation days benefits""}"
compensationPlan.update,"{""en-US"": ""update perks""}"
compensationPlan.update,"{""en-US"": ""edit perks""}"
compensationPlan.update,"{""en-US"": ""adjust allowance""}"
compensationPlan.update,"{""en-US"": ""adjust commission""}"
compensationPlan.update,"{""en-US"": ""modify commission""}"
compensationPlan.update,"{""en-US"": ""modify bonus""}"
compensationPlan.update,"{""en-US"": ""change bonus""}"
compensationPlan.update,"{""en-US"": ""update basic pay""}"
compensationPlan.update,"{""en-US"": ""edit compensation details""}"
compensationPlan.update,"{""en-US"": ""adjust compensation plan""}"
compensationPlan.update,"{""en-US"": ""modif compensation specifics""}"
compensationPlan.update,"{""en-US"": ""modify compensation specifics""}"
compensationPlan.update,"{""en-US"": ""change compensation details""}"
compensationPlan.update,"{""en-US"": ""upd compensation plan""}"
compensationPlanStep.create,"{""en-US"": ""establish compensation plan step""}"
compensationPlanStep.create,"{""en-US"": ""set up compensation plan step""}"
compensationPlanStep.create,"{""en-US"": ""compensation step creation""}"
compensationPlanStep.create,"{""en-US"": ""make compensation plan step""}"
compensationPlanStep.create,"{""en-US"": ""add compensation plan step""}"
compensationPlanStep.create,"{""en-US"": ""create compensation plan step""}"
compensationPlanStep.create,"{""en-US"": ""start compensation plan step""}"
compensationPlanStep.create,"{""en-US"": ""new compensation plan step""}"
compensationPlanStep.create,"{""en-US"": ""creation of a new comp plan step""}"
compensationPlanStep.create,"{""en-US"": ""I need a new step in the compensation plan""}"
compensationPlanStep.create,"{""en-US"": ""establish a new step into compensation plan""}"
compensationPlanStep.create,"{""en-US"": ""make new step into compensation plan""}"
compensationPlanStep.create,"{""en-US"": ""create new step in the compensation plan""}"
compensationPlanStep.delete,"{""en-US"": ""take away compensation plan step""}"
compensationPlanStep.delete,"{""en-US"": ""elim compensation plan step""}"
compensationPlanStep.delete,"{""en-US"": ""eliminate compensation plan step""}"
compensationPlanStep.delete,"{""en-US"": ""rem compensation plan step""}"
compensationPlanStep.delete,"{""en-US"": ""remove compensation plan step""}"
compensationPlanStep.delete,"{""en-US"": ""del compensation plan step""}"
compensationPlanStep.delete,"{""en-US"": ""delete compensation plan step""}"
compensationPlanStep.delete,"{""en-US"": ""compensation plan step eliminate""}"
compensationPlanStep.delete,"{""en-US"": ""comp plan step deletion""}"
compensationPlanStep.delete,"{""en-US"": ""take away a compensation plan step""}"
compensationPlanStep.delete,"{""en-US"": ""compensation plan step delete""}"
compensationPlanStep.update,"{""en-US"": ""edit compensation plan step""}"
compensationPlanStep.update,"{""en-US"": ""adjust compensation plan step""}"
compensationPlanStep.update,"{""en-US"": "" modif compensation plan step""}"
compensationPlanStep.update,"{""en-US"": ""modify compensation plan step""}"
compensationPlanStep.update,"{""en-US"": ""change compensation plan step""}"
compensationPlanStep.update,"{""en-US"": ""updt compensation plan step""}"
compensationPlanStep.update,"{""en-US"": ""update compensation plan step""}"
compensationPlanStep.update,"{""en-US"": ""make adjustments to compensation plan step""}"
compensationPlanStep.update,"{""en-US"": ""compensation plan step corrections""}"
compensationPlanStep.update,"{""en-US"": ""compensation plan step corrections update""}"
compensationPlanStep.update,"{""en-US"": ""compensation plan step corrections adjustments""}"
data.import,"{""en-US"": ""import retirement data""}"
data.import,"{""en-US"": ""import data""}"
data.import,"{""en-US"": ""add document""}"
data.import,"{""en-US"": ""import document""}"
data.import,"{""en-US"": ""import employee doc""}"
data.import,"{""en-US"": ""add employee data""}"
data.import,"{""en-US"": ""add time entry data""}"
data.import,"{""en-US"": ""import time information""}"
data.import,"{""en-US"": ""perkins input import""}"
data.import,"{""en-US"": ""include perkins data""}"
data.import,"{""en-US"": ""import loan data""}"
data.import,"{""en-US"": ""add loaning information""}"
data.import,"{""en-US"": ""add contribution plan data""}"
data.import,"{""en-US"": ""import contribution plan info""}"
data.import,"{""en-US"": ""import employee file""}"
data.import,"{""en-US"": ""import doc""}"
data.import,"{""en-US"": ""import retirement plan data""}"
data.import,"{""en-US"": ""add data file for employee""}"
demote,"{""en-US"": ""demote worker""}"
demote,"{""en-US"": ""demote employee""}"
demote,"{""en-US"": ""demote associate""}"
demote,"{""en-US"": ""demote my worker""}"
demote,"{""en-US"": ""down worker""}"
demote,"{""en-US"": ""downgrade associate""}"
demote,"{""en-US"": ""downgrade employee""}"
demote,"{""en-US"": ""lower employee rank""}"
demote,"{""en-US"": ""downgrade employee rank""}"
evaluation.cancel,"{""en-US"": ""Cancel job evaluation now please""}"
evaluation.cancel,"{""en-US"": ""Cancel job evaluation now""}"
evaluation.cancel,"{""en-US"": ""Cancel job evaluation""}"
evaluation.cancel,"{""en-US"": ""Make job evaluation cancelled""}"
evaluation.cancel,"{""en-US"": ""Pls cancel job eval""}"
evaluation.cancel,"{""en-US"": ""I need this job evaluation to be cancelled""}"
evaluation.cancel,"{""en-US"": ""Make a job evaluation cancelled""}"
evaluation.cancel,"{""en-US"": ""I need you to cancel a job evaluation""}"
evaluation.cancel,"{""en-US"": ""Can you please cancel a job evaluation""}"
evaluation.cancel,"{""en-US"": ""Job evaluation should be cancelled now""}"
evaluation.cancel,"{""en-US"": ""Job evaluation should be cancelled""}"
evaluation.cancel,"{""en-US"": ""Cancel job eval""}"
evaluation.cancel,"{""en-US"": ""Please cancel this job evaluation""}"
evaluation.review,"{""en-US"": ""evaluation review""}"
evaluation.review,"{""en-US"": ""review eval""}"
evaluation.review,"{""en-US"": ""review job evaluation""}"
evaluation.review,"{""en-US"": ""evaluation assessment""}"
evaluation.review,"{""en-US"": ""go over evaluation""}"
evaluation.review,"{""en-US"": ""assess job eval""}"
evaluation.review,"{""en-US"": ""read job eval""}"
evaluation.review,"{""en-US"": ""grade job evaluation""}"
evaluation.review,"{""en-US"": ""look over evaluation""}"
evaluation.schedule,"{""en-US"": ""A new schedule for job evaluation""}"
evaluation.schedule,"{""en-US"": ""Please create a new entry for a job evaluation schedule""}"
evaluation.schedule,"{""en-US"": ""Make a new job evaluation creation""}"
evaluation.schedule,"{""en-US"": ""I need you to create a job schedule evaluation""}"
evaluation.schedule,"{""en-US"": ""I want you to create a job schedule evaluation""}"
evaluation.schedule,"{""en-US"": ""Schedule evaluation create""}"
evaluation.schedule,"{""en-US"": ""E-system, make a new schedule for job evaluation""}"
evaluation.schedule,"{""en-US"": ""Pls create evaluation schedule""}"
evaluation.schedule,"{""en-US"": ""Please create job eval schedule""}"
evaluation.schedule,"{""en-US"": ""Create job eval schedule""}"
evaluation.schedule,"{""en-US"": ""Can you please create an evaluation schedule""}"
evaluation.schedule,"{""en-US"": ""Schedule evaluation creation""}"
evaluation.schedule,"{""en-US"": ""schedule evaluation""}"
evaluation.schedule,"{""en-US"": ""please schedule a new evaluation""}"
evaluation.schedule,"{""en-US"": ""make schedule eval""}"
evaluation.schedule,"{""en-US"": ""schedule eval""}"
evaluation.update,"{""en-US"": ""Re-schedule a job evaluation date""}"
evaluation.update,"{""en-US"": ""Update my agenda for a job evaluation""}"
evaluation.update,"{""en-US"": ""Can you please update job evaluation""}"
evaluation.update,"{""en-US"": ""Pls update job eval schedule""}"
evaluation.update,"{""en-US"": ""I need to update job eval schedule""}"
